date,store,cash,total
2025-07-23,Грин Парк,non-cash,18330
2025-07-23,Коса,cash,2650
2025-07-23,Коса,non-cash,16700
2025-07-23,Красная,cash,1750
2025-07-23,Красная,non-cash,9175
2025-07-23,Краснодар Оз Мол,cash,400
2025-07-23,Краснодар Оз Мол,non-cash,4250
2025-07-23,Лента,cash,0
2025-07-23,Лента,non-cash,6710
2025-07-23,Советов,cash,1000
2025-07-23,Советов,non-cash,13910
2025-07-23,Черноморский,cash,4800
2025-07-23,Черноморский,non-cash,30130
2025-07-24,Анапа Черноморская,cash,1900
2025-07-24,Анапа Черноморская,non-cash,6725
2025-07-24,Боба Рэббит,cash,5200
2025-07-24,Боба Рэббит,non-cash,27550
2025-07-24,Галерея Краснодар,cash,750
2025-07-24,Галерея Краснодар,non-cash,7610
2025-07-24,Геленджик,cash,1650
2025-07-24,Геленджик,non-cash,11275
2025-07-24,Грин Парк,cash,1025
2025-07-24,Грин Парк,non-cash,12050
2025-07-24,Коса,cash,2200
2025-07-24,Коса,non-cash,12550
2025-07-24,Красная,cash,0
2025-07-24,Красная,non-cash,9175
2025-07-24,Краснодар Оз Мол,cash,2400
2025-07-24,Краснодар Оз Мол,non-cash,3600
2025-07-24,Лента,cash,350
2025-07-24,Лента,non-cash,2780
2025-07-24,Советов,cash,1650
2025-07-24,Советов,non-cash,16660
2025-07-24,Черноморский,cash,3650
2025-07-24,Черноморский,non-cash,32840
2025-07-25,Анапа Черноморская,cash,0
2025-07-25,Анапа Черноморская,non-cash,8650
2025-07-25,Боба Рэббит,cash,3230
2025-07-25,Боба Рэббит,non-cash,26995
2025-07-25,Галерея Краснодар,cash,500
2025-07-25,Галерея Краснодар,non-cash,9915
2025-07-25,Геленджик,cash,1350
2025-07-25,Геленджик,non-cash,8890
2025-07-25,Грин Парк,cash,2105
2025-07-25,Грин Парк,non-cash,17400
2025-07-25,Коса,cash,4650
2025-07-25,Коса,non-cash,11150
2025-07-25,Красная,cash,4150
2025-07-25,Красная,non-cash,13850
2025-07-25,Краснодар Оз Мол,cash,1150
2025-07-25,Краснодар Оз Мол,non-cash,3200
2025-07-25,Лента,cash,750
2025-07-25,Лента,non-cash,6250
2025-07-25,Советов,cash,0
2025-07-25,Советов,non-cash,12100
2025-07-25,Черноморский,cash,2150
2025-07-25,Черноморский,non-cash,30575
2025-07-26,Анапа Черноморская,cash,1850
2025-07-26,Анапа Черноморская,non-cash,6150
2025-07-26,Боба Рэббит,cash,4250
2025-07-26,Боба Рэббит,non-cash,32800
2025-07-26,Галерея Краснодар,cash,1050
2025-07-26,Галерея Краснодар,non-cash,8925
2025-07-26,Геленджик,cash,3500
2025-07-26,Геленджик,non-cash,5325
2025-07-26,Грин Парк,cash,2625
2025-07-26,Грин Парк,non-cash,10100
2025-07-26,Коса,cash,7500
2025-07-26,Коса,non-cash,19105
2025-07-26,Красная,cash,3800
2025-07-26,Красная,non-cash,11275
2025-07-26,Краснодар Оз Мол,cash,500
2025-07-26,Краснодар Оз Мол,non-cash,5905
2025-07-26,Лента,cash,0
2025-07-26,Лента,non-cash,5450
2025-07-26,Советов,cash,700
2025-07-26,Советов,non-cash,9660
2025-07-26,Черноморский,cash,4950
2025-07-26,Черноморский,non-cash,30705
2025-07-27,Анапа Черноморская,cash,0
2025-07-27,Анапа Черноморская,non-cash,7450
2025-07-27,Боба Рэббит,cash,5160
2025-07-27,Боба Рэббит,non-cash,33700
2025-07-27,Галерея Краснодар,cash,3250
2025-07-27,Галерея Краснодар,non-cash,8337
2025-07-27,Геленджик,cash,1150
2025-07-27,Геленджик,non-cash,6550
2025-07-27,Грин Парк,cash,4800
2025-07-27,Грин Парк,non-cash,8245
2025-07-27,Коса,cash,6910
2025-07-27,Коса,non-cash,12450
2025-07-27,Красная,cash,2310
2025-07-27,Красная,non-cash,11125
2025-07-27,Краснодар Оз Мол,cash,600
2025-07-27,Краснодар Оз Мол,non-cash,11250
2025-07-27,Лента,cash,2850
2025-07-27,Лента,non-cash,2500
2025-07-27,Советов,cash,1100
2025-07-27,Советов,non-cash,13175
2025-07-27,Черноморский,cash,7878
2025-07-27,Черноморский,non-cash,33680
2025-07-28,Анапа Черноморская,cash,3050
2025-07-28,Анапа Черноморская,non-cash,12525
2025-07-28,Боба Рэббит,cash,6450
2025-07-28,Боба Рэббит,non-cash,30500
2025-07-28,Галерея Краснодар,cash,3400
2025-07-28,Галерея Краснодар,non-cash,8980
2025-07-28,Геленджик,cash,3150
2025-07-28,Геленджик,non-cash,7250
2025-07-28,Грин Парк,cash,1600
2025-07-28,Грин Парк,non-cash,15000
2025-07-28,Коса,cash,3950
2025-07-28,Коса,non-cash,6400
2025-07-28,Красная,cash,2200
2025-07-28,Красная,non-cash,11425
2025-07-28,Краснодар Оз Мол,cash,2950
2025-07-28,Краснодар Оз Мол,non-cash,3875
2025-07-28,Лента,cash,0
2025-07-28,Лента,non-cash,3325
2025-07-28,Советов,cash,3100
2025-07-28,Советов,non-cash,9975
2025-07-28,Черноморский,cash,6825
2025-07-28,Черноморский,non-cash,22400
2025-07-29,Анапа Черноморская,cash,350
2025-07-29,Анапа Черноморская,non-cash,3200
2025-07-29,Боба Рэббит,cash,3900
2025-07-29,Боба Рэббит,non-cash,30410
2025-07-29,Галерея Краснодар,cash,400
2025-07-29,Галерея Краснодар,non-cash,8035
2025-07-29,Геленджик,cash,1450
2025-07-29,Геленджик,non-cash,7475
2025-07-29,Грин Парк,cash,3150
2025-07-29,Грин Парк,non-cash,16150
2025-07-29,Коса,cash,4650
2025-07-29,Коса,non-cash,12900
2025-07-29,Красная,cash,1450
2025-07-29,Красная,non-cash,11750
2025-07-29,Краснодар Оз Мол,cash,0
2025-07-29,Краснодар Оз Мол,non-cash,6675
2025-07-29,Лента,cash,1550
2025-07-29,Лента,non-cash,4400
2025-07-29,Советов,cash,3000
2025-07-29,Советов,non-cash,15050
2025-07-29,Черноморский,cash,3500
2025-07-29,Черноморский,non-cash,22350
2025-07-30,Анапа Черноморская,cash,1400
2025-07-30,Анапа Черноморская,non-cash,4775
2025-07-30,Боба Рэббит,cash,5350
2025-07-30,Боба Рэббит,non-cash,28650
2025-07-30,Галерея Краснодар,cash,1850
2025-07-30,Галерея Краснодар,non-cash,8005
2025-07-30,Геленджик,cash,700
2025-07-30,Геленджик,non-cash,7650
2025-07-30,Грин Парк,cash,3250
2025-07-30,Грин Парк,non-cash,17610
2025-07-30,Коса,cash,4150
2025-07-30,Коса,non-cash,8850
2025-07-30,Красная,cash,0
2025-07-30,Красная,non-cash,10500
2025-07-30,Краснодар Оз Мол,cash,2250
2025-07-30,Краснодар Оз Мол,non-cash,5600
2025-07-30,Лента,cash,450
2025-07-30,Лента,non-cash,7650
2025-07-30,Советов,cash,700
2025-07-30,Советов,non-cash,9050
2025-07-30,Черноморский,cash,6150
2025-07-30,Черноморский,non-cash,26625
2025-07-31,Анапа Черноморская,cash,1950
2025-07-31,Анапа Черноморская,non-cash,5000
2025-07-31,Боба Рэббит,cash,11250
2025-07-31,Боба Рэббит,non-cash,31425
2025-07-31,Галерея Краснодар,cash,1350
2025-07-31,Галерея Краснодар,non-cash,7000
2025-07-31,Геленджик,cash,500
2025-07-31,Геленджик,non-cash,10700
2025-07-31,Грин Парк,cash,1100
2025-07-31,Грин Парк,non-cash,16825
2025-07-31,Коса,cash,1300
2025-07-31,Коса,non-cash,13450
2025-07-31,Красная,cash,650
2025-07-31,Красная,non-cash,12250
2025-07-31,Краснодар Оз Мол,cash,1875
2025-07-31,Краснодар Оз Мол,non-cash,10100
2025-07-31,Лента,cash,2050
2025-07-31,Лента,non-cash,11950
2025-07-31,Советов,cash,1050
2025-07-31,Советов,non-cash,9050
2025-07-31,Черноморский,cash,5900
2025-07-31,Черноморский,non-cash,22740
2025-08-01,Анапа Черноморская,cash,900
2025-08-01,Анапа Черноморская,non-cash,3850
2025-08-01,Боба Рэббит,cash,6550
2025-08-01,Боба Рэббит,non-cash,23635
2025-08-01,Галерея Краснодар,cash,2250
2025-08-01,Галерея Краснодар,non-cash,6950
2025-08-01,Геленджик,cash,4850
2025-08-01,Геленджик,non-cash,0
2025-08-01,Грин Парк,cash,4850
2025-08-01,Грин Парк,non-cash,15675
2025-08-01,Коса,cash,4050
2025-08-01,Коса,non-cash,8600
2025-08-01,Красная,cash,6600
2025-08-01,Красная,non-cash,7000
2025-08-01,Краснодар Оз Мол,cash,2050
2025-08-01,Краснодар Оз Мол,non-cash,8050
2025-08-01,Лента,cash,1575
2025-08-01,Лента,non-cash,3865
2025-08-01,Советов,cash,1250
2025-08-01,Советов,non-cash,18780
2025-08-01,Черноморский,cash,5650
2025-08-01,Черноморский,non-cash,26240
2025-08-02,Анапа Черноморская,cash,700
2025-08-02,Анапа Черноморская,non-cash,7100
2025-08-02,Боба Рэббит,cash,7200
2025-08-02,Боба Рэббит,non-cash,43710
2025-08-02,Галерея Краснодар,cash,3325
2025-08-02,Галерея Краснодар,non-cash,12655
2025-08-02,Геленджик,cash,1850
2025-08-02,Геленджик,non-cash,8575
2025-08-02,Грин Парк,cash,400
2025-08-02,Грин Парк,non-cash,22675
2025-08-02,Коса,cash,1250
2025-08-02,Коса,non-cash,7800
2025-08-02,Красная,cash,1285
2025-08-02,Красная,non-cash,9515
2025-08-02,Краснодар Оз Мол,cash,3150
2025-08-02,Краснодар Оз Мол,non-cash,7300
2025-08-02,Лента,cash,575
2025-08-02,Лента,non-cash,5410
2025-08-02,Советов,cash,3750
2025-08-02,Советов,non-cash,9850
2025-08-02,Черноморский,cash,5450
2025-08-02,Черноморский,non-cash,30025
2025-08-03,Анапа Черноморская,cash,4000
2025-08-03,Анапа Черноморская,non-cash,3750
2025-08-03,Боба Рэббит,cash,5600
2025-08-03,Боба Рэббит,non-cash,44950
2025-08-03,Галерея Краснодар,cash,400
2025-08-03,Галерея Краснодар,non-cash,10140
2025-08-03,Геленджик,cash,850
2025-08-03,Геленджик,non-cash,10700
2025-08-03,Грин Парк,cash,3350
2025-08-03,Грин Парк,non-cash,25705
2025-08-03,Коса,cash,5500
2025-08-03,Коса,non-cash,5188
2025-08-03,Красная,cash,3725
2025-08-03,Красная,non-cash,16810
2025-08-03,Краснодар Оз Мол,cash,3050
2025-08-03,Краснодар Оз Мол,non-cash,13995
2025-08-03,Лента,cash,2400
2025-08-03,Лента,non-cash,5200
2025-08-03,Советов,cash,0
2025-08-03,Советов,non-cash,12975
2025-08-03,Черноморский,cash,4700
2025-08-03,Черноморский,non-cash,23655
2025-08-04,Анапа Черноморская,cash,450
2025-08-04,Анапа Черноморская,non-cash,7100
2025-08-04,Боба Рэббит,cash,3950
2025-08-04,Боба Рэббит,non-cash,27825
2025-08-04,Галерея Краснодар,cash,2550
2025-08-04,Галерея Краснодар,non-cash,10150
2025-08-04,Геленджик,cash,1850
2025-08-04,Геленджик,non-cash,11375
2025-08-04,Грин Парк,cash,1000
2025-08-04,Грин Парк,non-cash,15425
2025-08-04,Коса,cash,4750
2025-08-04,Коса,non-cash,1567
2025-08-04,Красная,cash,450
2025-08-04,Красная,non-cash,16150
2025-08-04,Краснодар Оз Мол,cash,0
2025-08-04,Краснодар Оз Мол,non-cash,4900
2025-08-04,Лента,cash,625
2025-08-04,Лента,non-cash,2400
2025-08-04,Советов,cash,250
2025-08-04,Советов,non-cash,8900
2025-08-04,Черноморский,cash,4700
2025-08-04,Черноморский,non-cash,32900
2025-08-05,Анапа Черноморская,cash,1650
2025-08-05,Анапа Черноморская,non-cash,5975
2025-08-05,Боба Рэббит,cash,4150
2025-08-05,Боба Рэббит,non-cash,35425
2025-08-05,Галерея Краснодар,cash,1075
2025-08-05,Галерея Краснодар,non-cash,8200
2025-08-05,Геленджик,cash,2000
2025-08-05,Геленджик,non-cash,10200
2025-08-05,Грин Парк,cash,5850
2025-08-05,Грин Парк,non-cash,16550
2025-08-05,Коса,cash,2950
2025-08-05,Коса,non-cash,22173
2025-08-05,Красная,cash,1250
2025-08-05,Красная,non-cash,10180
2025-08-05,Краснодар Оз Мол,cash,1100
2025-08-05,Краснодар Оз Мол,non-cash,8230
2025-08-05,Лента,cash,0
2025-08-05,Лента,non-cash,400
2025-08-05,Советов,cash,2050
2025-08-05,Советов,non-cash,9300
2025-08-05,Черноморский,cash,8050
2025-08-05,Черноморский,non-cash,30650
2025-08-06,Анапа Черноморская,cash,2350
2025-08-06,Анапа Черноморская,non-cash,7800
2025-08-06,Боба Рэббит,cash,5150
2025-08-06,Боба Рэббит,non-cash,30325
2025-08-06,Галерея Краснодар,cash,1550
2025-08-06,Галерея Краснодар,non-cash,9580
2025-08-06,Геленджик,cash,2100
2025-08-06,Геленджик,non-cash,11200
2025-08-06,Грин Парк,cash,1300
2025-08-06,Грин Парк,non-cash,12325
2025-08-06,Коса,cash,1450
2025-08-06,Коса,non-cash,19020
2025-08-06,Красная,cash,3050
2025-08-06,Красная,non-cash,7000
2025-08-06,Краснодар Оз Мол,cash,2250
2025-08-06,Краснодар Оз Мол,non-cash,5775
2025-08-06,Лента,cash,1100
2025-08-06,Лента,non-cash,7425
2025-08-06,Советов,cash,500
2025-08-06,Советов,non-cash,11975
2025-08-06,Черноморский,cash,5750
2025-08-06,Черноморский,non-cash,42700
2025-08-07,Анапа Черноморская,cash,0
2025-08-07,Анапа Черноморская,non-cash,6600
2025-08-07,Боба Рэббит,cash,6150
2025-08-07,Боба Рэббит,non-cash,34000
2025-08-07,Галерея Краснодар,cash,1150
2025-08-07,Галерея Краснодар,non-cash,6325
2025-08-07,Геленджик,cash,4900
2025-08-07,Геленджик,non-cash,0
2025-08-07,Грин Парк,cash,1900
2025-08-07,Грин Парк,non-cash,15660
2025-08-07,Коса,cash,1900
2025-08-07,Коса,non-cash,11075
2025-08-07,Красная,cash,1150
2025-08-07,Красная,non-cash,12250
2025-08-07,Краснодар Оз Мол,cash,1500
2025-08-07,Краснодар Оз Мол,non-cash,9300
2025-08-07,Лента,cash,500
2025-08-07,Лента,non-cash,6100
2025-08-07,Советов,cash,3500
2025-08-07,Советов,non-cash,18990
2025-08-07,Черноморский,cash,7500
2025-08-07,Черноморский,non-cash,24600
2025-08-08,Анапа Черноморская,cash,1450
2025-08-08,Анапа Черноморская,non-cash,350
2025-08-08,Боба Рэббит,cash,5560
2025-08-08,Боба Рэббит,non-cash,28100
2025-08-08,Галерея Краснодар,cash,7250
2025-08-08,Галерея Краснодар,non-cash,0
2025-08-08,Геленджик,cash,3550
2025-08-08,Геленджик,non-cash,14325
2025-08-08,Грин Парк,cash,13480
2025-08-08,Грин Парк,non-cash,0
2025-08-08,Коса,cash,8850
2025-08-08,Коса,non-cash,350
2025-08-08,Красная,cash,7225
2025-08-08,Красная,non-cash,0
2025-08-08,Краснодар Оз Мол,cash,2950
2025-08-08,Краснодар Оз Мол,non-cash,6380
2025-08-08,Лента,cash,2300
2025-08-08,Лента,non-cash,0
2025-08-08,Советов,cash,2600
2025-08-08,Советов,non-cash,9725
2025-08-08,Черноморский,cash,17550
2025-08-08,Черноморский,non-cash,7750
2025-08-09,Анапа Черноморская,cash,5750
2025-08-09,Анапа Черноморская,non-cash,0
2025-08-09,Боба Рэббит,cash,7970
2025-08-09,Боба Рэббит,non-cash,33585
2025-08-09,Галерея Краснодар,cash,2018
2025-08-09,Галерея Краснодар,non-cash,0
2025-08-09,Геленджик,cash,2400
2025-08-09,Геленджик,non-cash,4350
2025-08-09,Грин Парк,cash,14000
2025-08-09,Грин Парк,non-cash,650
2025-08-09,Коса,cash,10750
2025-08-09,Коса,non-cash,1100
2025-08-09,Красная,cash,7550
2025-08-09,Красная,non-cash,0
2025-08-09,Краснодар Оз Мол,cash,1310
2025-08-09,Краснодар Оз Мол,non-cash,12490
2025-08-09,Лента,cash,2015
2025-08-09,Лента,non-cash,0
2025-08-09,Советов,cash,400
2025-08-09,Советов,non-cash,16625
2025-08-09,Черноморский,cash,22050
2025-08-09,Черноморский,non-cash,1100
2025-08-10,Анапа Черноморская,cash,1550
2025-08-10,Анапа Черноморская,non-cash,6650
2025-08-10,Боба Рэббит,cash,6720
2025-08-10,Боба Рэббит,non-cash,40140
2025-08-10,Галерея Краснодар,cash,5565
2025-08-10,Галерея Краснодар,non-cash,3750
2025-08-10,Геленджик,cash,4600
2025-08-10,Геленджик,non-cash,10050
2025-08-10,Грин Парк,cash,6650
2025-08-10,Грин Парк,non-cash,8025
2025-08-10,Коса,cash,8400
2025-08-10,Коса,non-cash,10250
2025-08-10,Красная,cash,4650
2025-08-10,Красная,non-cash,15860
2025-08-10,Краснодар Оз Мол,cash,1500
2025-08-10,Краснодар Оз Мол,non-cash,9925
2025-08-10,Лента,cash,1650
2025-08-10,Лента,non-cash,1750
2025-08-10,Советов,cash,4600
2025-08-10,Советов,non-cash,16325
2025-08-10,Черноморский,cash,13650
2025-08-10,Черноморский,non-cash,40500
2025-08-11,Анапа Черноморская,cash,350
2025-08-11,Анапа Черноморская,non-cash,3450
2025-08-11,Боба Рэббит,cash,8500
2025-08-11,Боба Рэббит,non-cash,28565
2025-08-11,Галерея Краснодар,cash,1850
2025-08-11,Галерея Краснодар,non-cash,5150
2025-08-11,Геленджик,cash,5500
2025-08-11,Геленджик,non-cash,8450
2025-08-11,Грин Парк,cash,3400
2025-08-11,Грин Парк,non-cash,18250
2025-08-11,Коса,cash,8100
2025-08-11,Коса,non-cash,19315
2025-08-11,Красная,cash,3050
2025-08-11,Красная,non-cash,11250
2025-08-11,Краснодар Оз Мол,cash,2000
2025-08-11,Краснодар Оз Мол,non-cash,5650
2025-08-11,Лента,cash,3150
2025-08-11,Лента,non-cash,6995
2025-08-11,Советов,cash,4100
2025-08-11,Советов,non-cash,12150
2025-08-11,Черноморский,cash,6300
2025-08-11,Черноморский,non-cash,33350
2025-08-12,Анапа Черноморская,cash,2300
2025-08-12,Анапа Черноморская,non-cash,8200
2025-08-12,Боба Рэббит,cash,2250
2025-08-12,Боба Рэббит,non-cash,29325
2025-08-12,Галерея Краснодар,cash,700
2025-08-12,Галерея Краснодар,non-cash,8966
2025-08-12,Геленджик,cash,5650
2025-08-12,Геленджик,non-cash,8800
2025-08-12,Грин Парк,cash,4500
2025-08-12,Грин Парк,non-cash,10250
2025-08-12,Коса,cash,2250
2025-08-12,Коса,non-cash,14050
2025-08-12,Красная,cash,3000
2025-08-12,Красная,non-cash,10625
2025-08-12,Краснодар Оз Мол,cash,1150
2025-08-12,Краснодар Оз Мол,non-cash,3350
2025-08-12,Лента,cash,1200
2025-08-12,Лента,non-cash,3885
2025-08-12,Советов,cash,2000
2025-08-12,Советов,non-cash,14100
2025-08-12,Черноморский,cash,5400
2025-08-12,Черноморский,non-cash,28475
2025-08-13,Анапа Черноморская,cash,350
2025-08-13,Анапа Черноморская,non-cash,6200
2025-08-13,Боба Рэббит,cash,7200
2025-08-13,Боба Рэббит,non-cash,25620
2025-08-13,Галерея Краснодар,cash,850
2025-08-13,Галерея Краснодар,non-cash,3175
2025-08-13,Геленджик,cash,1825
2025-08-13,Геленджик,non-cash,10650
2025-08-13,Грин Парк,cash,5600
2025-08-13,Грин Парк,non-cash,0
2025-08-13,Коса,cash,3760
2025-08-13,Коса,non-cash,9725
2025-08-13,Красная,cash,1170
2025-08-13,Красная,non-cash,16180
2025-08-13,Краснодар Оз Мол,cash,1900
2025-08-13,Краснодар Оз Мол,non-cash,9000
2025-08-13,Лента,cash,0
2025-08-13,Лента,non-cash,5600
2025-08-13,Советов,cash,2500
2025-08-13,Советов,non-cash,12000
2025-08-13,Черноморский,cash,9900
2025-08-13,Черноморский,non-cash,27450
2025-08-14,Анапа Черноморская,cash,3850
2025-08-14,Анапа Черноморская,non-cash,7675
2025-08-14,Боба Рэббит,cash,7850
2025-08-14,Боба Рэббит,non-cash,34950
2025-08-14,Галерея Краснодар,cash,2600
2025-08-14,Галерея Краснодар,non-cash,5800
2025-08-14,Геленджик,cash,5225
2025-08-14,Геленджик,non-cash,4300
2025-08-14,Грин Парк,cash,1350
2025-08-14,Грин Парк,non-cash,16440
2025-08-14,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,1400
2025-08-14,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,0
2025-08-14,Коса,cash,4400
2025-08-14,Коса,non-cash,3775
2025-08-14,Красная,cash,3950
2025-08-14,Красная,non-cash,6950
2025-08-14,Краснодар Оз Мол,cash,2800
2025-08-14,Краснодар Оз Мол,non-cash,10700
2025-08-14,Лента,cash,2450
2025-08-14,Лента,non-cash,11850
2025-08-14,Советов,cash,350
2025-08-14,Советов,non-cash,14002
2025-08-14,Черноморский,cash,6350
2025-08-14,Черноморский,non-cash,32375
2025-08-15,Анапа Черноморская,cash,1800
2025-08-15,Анапа Черноморская,non-cash,10275
2025-08-15,Боба Рэббит,cash,8200
2025-08-15,Боба Рэббит,non-cash,27450
2025-08-15,Галерея Краснодар,cash,4350
2025-08-15,Галерея Краснодар,non-cash,7350
2025-08-15,Геленджик,cash,2900
2025-08-15,Геленджик,non-cash,12600
2025-08-15,Грин Парк,cash,3350
2025-08-15,Грин Парк,non-cash,19000
2025-08-15,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,1415
2025-08-15,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,850
2025-08-15,Коса,cash,9400
2025-08-15,Коса,non-cash,13325
2025-08-15,Красная,cash,1400
2025-08-15,Красная,non-cash,14450
2025-08-15,Краснодар Оз Мол,cash,1100
2025-08-15,Краснодар Оз Мол,non-cash,8200
2025-08-15,Лента,cash,750
2025-08-15,Лента,non-cash,5400
2025-08-15,Советов,cash,2750
2025-08-15,Советов,non-cash,8400
2025-08-15,Черноморский,cash,9350
2025-08-15,Черноморский,non-cash,25661
2025-08-16,Анапа Черноморская,cash,750
2025-08-16,Анапа Черноморская,non-cash,2550
2025-08-16,Боба Рэббит,cash,6700
2025-08-16,Боба Рэббит,non-cash,38050
2025-08-16,Галерея Краснодар,cash,2150
2025-08-16,Галерея Краснодар,non-cash,16475
2025-08-16,Геленджик,cash,650
2025-08-16,Геленджик,non-cash,7850
2025-08-16,Грин Парк,cash,5200
2025-08-16,Грин Парк,non-cash,15475
2025-08-16,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,0
2025-08-16,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,3030
2025-08-16,Коса,cash,10650
2025-08-16,Коса,non-cash,10010
2025-08-16,Красная,cash,1900
2025-08-16,Красная,non-cash,15885
2025-08-16,Краснодар Оз Мол,cash,2050
2025-08-16,Краснодар Оз Мол,non-cash,8920
2025-08-16,Лента,cash,2100
2025-08-16,Лента,non-cash,9530
2025-08-16,Советов,cash,550
2025-08-16,Советов,non-cash,10550
2025-08-16,Черноморский,cash,5800
2025-08-16,Черноморский,non-cash,33250
2025-08-17,Анапа Черноморская,cash,0
2025-08-17,Анапа Черноморская,non-cash,6150
2025-08-17,Боба Рэббит,cash,4375
2025-08-17,Боба Рэббит,non-cash,32975
2025-08-17,Галерея Краснодар,cash,3800
2025-08-17,Галерея Краснодар,non-cash,10610
2025-08-17,Геленджик,cash,2650
2025-08-17,Геленджик,non-cash,15350
2025-08-17,Грин Парк,cash,2900
2025-08-17,Грин Парк,non-cash,14800
2025-08-17,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,800
2025-08-17,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,4090
2025-08-17,Коса,cash,8395
2025-08-17,Коса,non-cash,11950
2025-08-17,Красная,cash,1590
2025-08-17,Красная,non-cash,7800
2025-08-17,Краснодар Оз Мол,cash,1350
2025-08-17,Краснодар Оз Мол,non-cash,10210
2025-08-17,Лента,cash,850
2025-08-17,Лента,non-cash,7450
2025-08-17,Советов,cash,950
2025-08-17,Советов,non-cash,13825
2025-08-17,Черноморский,cash,5350
2025-08-17,Черноморский,non-cash,36320
2025-08-18,Анапа Черноморская,cash,200
2025-08-18,Анапа Черноморская,non-cash,2450
2025-08-18,Боба Рэббит,cash,2750
2025-08-18,Боба Рэббит,non-cash,26800
2025-08-18,Галерея Краснодар,cash,1450
2025-08-18,Галерея Краснодар,non-cash,8450
2025-08-18,Геленджик,cash,2850
2025-08-18,Геленджик,non-cash,10000
2025-08-18,Грин Парк,cash,3000
2025-08-18,Грин Парк,non-cash,16325
2025-08-18,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,2150
2025-08-18,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,1200
2025-08-18,Коса,cash,6610
2025-08-18,Коса,non-cash,9100
2025-08-18,Красная,cash,750
2025-08-18,Красная,non-cash,1610
2025-08-18,Краснодар Оз Мол,cash,2850
2025-08-18,Краснодар Оз Мол,non-cash,6550
2025-08-18,Лента,cash,2960
2025-08-18,Лента,non-cash,8225
2025-08-18,Советов,cash,300
2025-08-18,Советов,non-cash,10600
2025-08-18,Черноморский,cash,12225
2025-08-18,Черноморский,non-cash,20860
2025-08-19,Анапа Черноморская,cash,2150
2025-08-19,Анапа Черноморская,non-cash,7200
2025-08-19,Боба Рэббит,cash,4370
2025-08-19,Боба Рэббит,non-cash,29215
2025-08-19,Галерея Краснодар,cash,600
2025-08-19,Галерея Краснодар,non-cash,8305
2025-08-19,Геленджик,cash,3050
2025-08-19,Геленджик,non-cash,13075
2025-08-19,Грин Парк,cash,2100
2025-08-19,Грин Парк,non-cash,16550
2025-08-19,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,350
2025-08-19,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,4195
2025-08-19,Коса,cash,13110
2025-08-19,Коса,non-cash,8270
2025-08-19,Красная,cash,9900
2025-08-19,Красная,non-cash,825
2025-08-19,Краснодар Оз Мол,cash,2200
2025-08-19,Краснодар Оз Мол,non-cash,4850
2025-08-19,Лента,cash,850
2025-08-19,Лента,non-cash,6725
2025-08-19,Советов,cash,1800
2025-08-19,Советов,non-cash,18200
2025-08-19,Черноморский,cash,9175
2025-08-19,Черноморский,non-cash,35880
2025-08-20,Анапа Черноморская,cash,600
2025-08-20,Анапа Черноморская,non-cash,4750
2025-08-20,Боба Рэббит,cash,4800
2025-08-20,Боба Рэббит,non-cash,26815
2025-08-20,Галерея Краснодар,cash,700
2025-08-20,Галерея Краснодар,non-cash,8625
2025-08-20,Геленджик,cash,2350
2025-08-20,Геленджик,non-cash,9700
2025-08-20,Грин Парк,cash,2980
2025-08-20,Грин Парк,non-cash,15625
2025-08-20,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,970
2025-08-20,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,non-cash,7560
2025-08-20,Коса,cash,7900
2025-08-20,Коса,non-cash,3125
2025-08-20,Красная,cash,2725
2025-08-20,Красная,non-cash,6125
2025-08-20,Краснодар Оз Мол,cash,350
2025-08-20,Краснодар Оз Мол,non-cash,10725
2025-08-20,Лента,cash,0
2025-08-20,Лента,non-cash,6875
2025-08-20,Советов,cash,1050
2025-08-20,Советов,non-cash,15580
2025-08-20,Черноморский,cash,6800
2025-08-20,Черноморский,non-cash,19850
2025-08-21,Анапа Черноморская,cash,3800
2025-08-21,Анапа Черноморская,non-cash,4000
2025-08-21,Боба Рэббит,cash,7200
2025-08-21,Боба Рэббит,non-cash,27010
2025-08-21,Галерея Краснодар,cash,2915
2025-08-21,Галерея Краснодар,non-cash,6855
2025-08-21,Геленджик,cash,1150
2025-08-21,Геленджик,non-cash,7700
2025-08-21,Грин Парк,cash,1250
2025-08-21,Грин Парк,non-cash,14830
2025-08-21,КРАСНОДАР КРАСНАЯ ПЛОЩАДЬ,cash,0
